CRUISE6,CRUISE,STRATUM,TOW,STATION,STATUS_CODE,ID,SVSPP,CATCHSEX,INDID,LENGTH,INDWT,SEX,MATURITY,AGE,AGE_DATA_FLAG,STOM_VOLUME,STOM_WGT,CUTTER,RECORDER,IND_FISH_COMMENTS
197906,979,06310,011,0033,10,197906063100110033,401,,,11.9,,0,,7, ,,, , , 
197906,979,06310,011,0033,10,197906063100110033,401,,,10.5,,0,,5, ,,, , , 
197906,979,06310,011,0033,10,197906063100110033,401,,,10.1,,0,,5, ,,, , , 
197906,979,06310,011,0033,10,197906063100110033,401,,,6.2,,0,,2, ,,, , , 
197906,979,06310,011,0033,10,197906063100110033,401,,,10.9,,0,,5, ,,, , , 
197906,979,06310,011,0033,10,197906063100110033,401,,,10.7,,0,,6, ,,, , , 
197906,979,06300,013,0036,10,197906063000130036,401,,,12.2,,0,,6, ,,, , , 
197906,979,06300,013,0036,10,197906063000130036,401,,,11.6,,0,,6, ,,, , , 
197906,979,06300,013,0036,10,197906063000130036,401,,,11.2,,0,,5, ,,, , , 
197906,979,06300,013,0036,10,197906063000130036,401,,,11.2,,0,,5, ,,, , , 
197906,979,06300,013,0036,10,197906063000130036,401,,,1.22,,0,,7, ,,, , , 
197906,979,06300,013,0036,10,197906063000130036,401,,,9.4,,0,,4, ,,, , , 
197906,979,06300,013,0036,10,197906063000130036,401,,,12.1,,0,,7, ,,, , , 
197906,979,06300,003,0037,10,197906063000030037,401,,,11.5,,0,,6, ,,, , , 
197906,979,06300,003,0037,10,197906063000030037,401,,,13.1,,0,,8, ,,, , , 
197906,979,06300,003,0037,10,197906063000030037,401,,,10.1,,0,,4, ,,, , , 
197906,979,06300,003,0037,10,197906063000030037,401,,,6,,0,,2, ,,, , , 
197906,979,06300,003,0037,10,197906063000030037,401,,,1.27,,0,,7, ,,, , , 
197906,979,06300,003,0037,10,197906063000030037,401,,,10.6,,0,,4, ,,, , , 
